How long is the imaging session (answer in seconds; time from TTL HIGH to end of the aqusition)?0.00307416915894 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
1.34771704674 , array('B', [0, 0, 239, 255, 255, 255, 0, 0])
1.36371397972 , array('B', [0, 0, 213, 255, 254, 255, 0, 0])
1.37971806526 , array('B', [0, 0, 228, 255, 255, 255, 0, 0])
1.39571905136 , array('B', [0, 0, 202, 255, 255, 255, 0, 0])
1.41172099113 , array('B', [0, 0, 224, 255, 0, 0, 0, 0])
1.42772316933 , array('B', [0, 0, 204, 255, 0, 0, 0, 0])
1.44372797012 , array('B', [0, 0, 228, 255, 5, 0, 0, 0])
1.45972800255 , array('B', [0, 0, 219, 255, 3, 0, 0, 0])
1.47572898865 , array('B', [0, 0, 238, 255, 6, 0, 0, 0])
1.49173116684 , array('B', [0, 0, 240, 255, 9, 0, 0, 0])
1.50773406029 , array('B', [0, 0, 246, 255, 9, 0, 0, 0])
1.52373504639 , array('B', [0, 0, 240, 255, 8, 0, 0, 0])
1.53974103928 , array('B', [0, 0, 234, 255, 6, 0, 0, 0])
1.55574011803 , array('B', [0, 0, 229, 255, 9, 0, 0, 0])
1.57174110413 , array('B', [0, 0, 217, 255, 6, 0, 0, 0])
1.58774805069 , array('B', [0, 0, 228, 255, 6, 0, 0, 0])
1.60374712944 , array('B', [0, 0, 198, 255, 4, 0, 0, 0])
1.61974811554 , array('B', [0, 0, 210, 255, 3, 0, 0, 0])
1.63575100899 , array('B', [0, 0, 181, 255, 252, 255, 0, 0])
1.65175199509 , array('B', [0, 0, 188, 255, 247, 255, 0, 0])
1.66775512695 , array('B', [0, 0, 172, 255, 247, 255, 0, 0])
1.68375611305 , array('B', [0, 0, 178, 255, 249, 255, 0, 0])
1.69975805283 , array('B', [0, 0, 180, 255, 248, 255, 0, 0])
1.71576213837 , array('B', [0, 0, 186, 255, 252, 255, 0, 0])
1.73176407814 , array('B', [0, 0, 207, 255, 0, 0, 0, 0])
1.74776911736 , array('B', [0, 0, 221, 255, 3, 0, 0, 0])
1.76376914978 , array('B', [0, 0, 249, 255, 8, 0, 0, 0])
1.779774189 , array('B', [0, 0, 2, 0, 11, 0, 0, 0])
1.79577612877 , array('B', [0, 0, 18, 0, 13, 0, 0, 0])
1.81177306175 , array('B', [0, 0, 23, 0, 14, 0, 0, 0])
1.82777619362 , array('B', [0, 0, 20, 0, 10, 0, 0, 0])
1.84377717972 , array('B', [0, 0, 24, 0, 7, 0, 0, 0])
1.85978102684 , array('B', [0, 0, 21, 0, 3, 0, 0, 0])
1.87578320503 , array('B', [0, 0, 14, 0, 250, 255, 0, 0])
1.89178514481 , array('B', [0, 0, 255, 255, 240, 255, 0, 0])
1.90778803825 , array('B', [0, 0, 245, 255, 236, 255, 0, 0])
1.92378807068 , array('B', [0, 0, 237, 255, 229, 255, 0, 0])
1.93979597092 , array('B', [0, 0, 231, 255, 230, 255, 0, 0])
1.95579719543 , array('B', [0, 0, 229, 255, 230, 255, 0, 0])
1.97191500664 , array('B', [0, 0, 233, 255, 233, 255, 0, 0])
1.98782110214 , array('B', [0, 0, 239, 255, 235, 255, 0, 0])
2.00380396843 , array('B', [0, 0, 251, 255, 244, 255, 0, 0])
2.01980304718 , array('B', [0, 0, 8, 0, 248, 255, 0, 0])
2.03580617905 , array('B', [0, 0, 17, 0, 254, 255, 0, 0])
2.05180716515 , array('B', [0, 0, 18, 0, 3, 0, 0, 0])
2.06780815125 , array('B', [0, 0, 17, 0, 7, 0, 0, 0])
2.08380913734 , array('B', [0, 0, 12, 0, 7, 0, 0, 0])
2.09981298447 , array('B', [0, 0, 8, 0, 6, 0, 0, 0])
2.11580920219 , array('B', [0, 0, 2, 0, 7, 0, 0, 0])
2.1318321228 , array('B', [0, 0, 0, 0, 4, 0, 0, 0])
2.14781999588 , array('B', [0, 0, 253, 255, 1, 0, 0, 0])
2.16382718086 , array('B', [0, 0, 250, 255, 0, 0, 0, 0])
2.17982506752 , array('B', [0, 0, 252, 255, 0, 0, 0, 0])
2.19582605362 , array('B', [0, 0, 249, 255, 255, 255, 0, 0])
2.21182608604 , array('B', [0, 0, 249, 255, 254, 255, 0, 0])
2.22782897949 , array('B', [0, 0, 250, 255, 255, 255, 0, 0])
2.24383020401 , array('B', [0, 0, 249, 255, 2, 0, 0, 0])
2.25983214378 , array('B', [0, 0, 251, 255, 5, 0, 0, 0])
2.27583408356 , array('B', [0, 0, 252, 255, 9, 0, 0, 0])
2.29183912277 , array('B', [0, 0, 255, 255, 10, 0, 0, 0])
2.30784010887 , array('B', [0, 0, 255, 255, 13, 0, 0, 0])
2.3238401413 , array('B', [0, 0, 1, 0, 13, 0, 0, 0])
2.33985209465 , array('B', [0, 0, 1, 0, 15, 0, 0, 0])
2.35584807396 , array('B', [0, 0, 0, 0, 15, 0, 0, 0])
2.37184906006 , array('B', [0, 0, 0, 0, 14, 0, 0, 0])
2.38785409927 , array('B', [0, 0, 254, 255, 12, 0, 0, 0])
2.40385198593 , array('B', [0, 0, 253, 255, 11, 0, 0, 0])
2.41985416412 , array('B', [0, 0, 252, 255, 10, 0, 0, 0])
2.43585419655 , array('B', [0, 0, 251, 255, 8, 0, 0, 0])
2.45185804367 , array('B', [0, 0, 251, 255, 4, 0, 0, 0])
2.46786308289 , array('B', [0, 0, 250, 255, 5, 0, 0, 0])
2.48386311531 , array('B', [0, 0, 251, 255, 7, 0, 0, 0])
2.49986505508 , array('B', [0, 0, 254, 255, 6, 0, 0, 0])
2.51586818695 , array('B', [0, 0, 254, 255, 7, 0, 0, 0])
2.53186917305 , array('B', [0, 0, 0, 0, 8, 0, 0, 0])
2.5478720665 , array('B', [0, 0, 1, 0, 7, 0, 0, 0])
2.5638730526 , array('B', [0, 0, 0, 0, 7, 0, 0, 0])
2.57987809181 , array('B', [0, 0, 0, 0, 8, 0, 0, 0])
2.59587907791 , array('B', [0, 0, 1, 0, 6, 0, 0, 0])
2.61188006401 , array('B', [0, 0, 0, 0, 6, 0, 0, 0])
2.62788319588 , array('B', [0, 0, 0, 0, 3, 0, 0, 0])
2.64388513565 , array('B', [0, 0, 254, 255, 2, 0, 0, 0])
2.6598880291 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
2.67589306831 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
2.6918900013 , array('B', [0, 0, 254, 255, 0, 0, 0, 0])
2.70789313316 , array('B', [0, 0, 255, 255, 255, 255, 0, 0])
2.72389602661 , array('B', [0, 0, 254, 255, 254, 255, 0, 0])
2.7398982048 , array('B', [0, 0, 255, 255, 253, 255, 0, 0])
2.75590419769 , array('B', [0, 0, 255, 255, 252, 255, 0, 0])
2.77190113068 , array('B', [0, 0, 255, 255, 253, 255, 0, 0])
2.78790903091 , array('B', [0, 0, 0, 0, 254, 255, 0, 0])
2.80391001701 , array('B', [0, 0, 1, 0, 254, 255, 0, 0])
2.81990814209 , array('B', [0, 0, 1, 0, 254, 255, 0, 0])
2.83590912819 , array('B', [0, 0, 1, 0, 253, 255, 0, 0])
2.85191202164 , array('B', [0, 0, 2, 0, 253, 255, 0, 0])
2.86791610718 , array('B', [0, 0, 1, 0, 252, 255, 0, 0])
2.88391709328 , array('B', [0, 0, 3, 0, 250, 255, 0, 0])
2.89991998672 , array('B', [0, 0, 1, 0, 252, 255, 0, 0])
2.91592097282 , array('B', [0, 0, 0, 0, 252, 255, 0, 0])
2.93192219734 , array('B', [0, 0, 0, 0, 251, 255, 0, 0])
2.94792604446 , array('B', [0, 0, 1, 0, 250, 255, 0, 0])
2.96392703056 , array('B', [0, 0, 0, 0, 250, 255, 0, 0])
2.97993397713 , array('B', [0, 0, 0, 0, 252, 255, 0, 0])
2.9959321022 , array('B', [0, 0, 0, 0, 251, 255, 0, 0])
3.01193404198 , array('B', [0, 0, 0, 0, 252, 255, 0, 0])
3.02793812752 , array('B', [0, 0, 0, 0, 251, 255, 0, 0])
3.04394006729 , array('B', [0, 0, 1, 0, 253, 255, 0, 0])
3.05994415283 , array('B', [0, 0, 1, 0, 253, 255, 0, 0])
3.07594609261 , array('B', [0, 0, 2, 0, 254, 255, 0, 0])
